id,kode_sku,nama_item,kategori,satuan,stok_saat_ini,stok_minimum,harga_per_satuan,lokasi_gudang,supplier_utama,warna_kode,no_faktur_po,tanggal_masuk,tipe_pembayaran,status_pembayaran,jatuh_tempo,_keterangan_excel
MG-2604-BH0001,MG-2604-BH0001,PURING PUTIH 01 WARNING,FOB,YARD,0.0,10.0,14000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-02,CASH,LUNAS,,
MG-2604-BH0002,MG-2604-BH0002,PETRINA WHITE,FOB,YARD,0.0,10.0,31000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-08,CASH,LUNAS,,
MG-2604-BH0003,MG-2604-BH0003,PETRINA BLACK,FOB,YARD,0.0,10.0,31000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-08,CASH,LUNAS,,
MG-2604-BH0004,MG-2604-BH0004,RISTER,FOB,YARD,0.0,10.0,53000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-08,CASH,LUNAS,,
MG-2604-BH0005,MG-2604-BH0005,DEALOVA SALUR KECIL,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-04-09,CASH,LUNAS,,
MG-2604-BH0006,MG-2604-BH0006,DEALOVA SALUR SEDANG,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-04-09,CASH,LUNAS,,
MG-2604-BH0007,MG-2604-BH0007,SALUR CATEXTILE MEDIUM BLUE,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-04-10,CASH,LUNAS,,
MG-2604-BH0008,MG-2604-BH0008,MASTER STRETCH,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),OXFOORD,#3b82f6,-,2026-04-17,CASH,LUNAS,,
MG-2604-BH0009,MG-2604-BH0009,PID CYGNUS,CMT,YARD,0.0,10.0,49000.0,Gudang Master Garment (CJM),OXFOORD,#3b82f6,-,2026-04-22,CASH,LUNAS,,
MG-2604-BH0010,MG-2604-BH0010,BJT 2307 HT,CASH,YARD,0.0,10.0,38000.0,Gudang Master Garment (CJM),NEVERSURENDER,#3b82f6,-,2026-04-24,CASH,LUNAS,,
MG-2604-BH0011,MG-2604-BH0011,SAKURA BC23,CASH,YARD,0.0,10.0,34000.0,Gudang Master Garment (CJM),NEVERSURENDER,#3b82f6,-,2026-04-24,CASH,LUNAS,,
MG-2604-BH0012,MG-2604-BH0012,FODIA BLUE,CASH,YARD,0.0,10.0,29000.0,Gudang Master Garment (CJM),CAMO,#3b82f6,-,2026-04-24,CASH,LUNAS,,
MG-2604-BH0013,MG-2604-BH0013,CORDUROY,FOB,YARD,0.0,10.0,32000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-24,CASH,LUNAS,,
MG-2604-BH0014,MG-2604-BH0014,LINEN,FOB,YARD,0.0,10.0,29000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-24,CASH,LUNAS,,
MG-2604-BH0015,MG-2604-BH0015,STREVI HITAM,FOB,YARD,0.0,10.0,58000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-24,CASH,LUNAS,,
MG-2604-BH0016,MG-2604-BH0016,LINEN LUCY,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),OXFOORD,#3b82f6,-,2026-04-25,CASH,LUNAS,,
MG-2604-BH0017,MG-2604-BH0017,EVERTON GREY,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),PSM,#3b82f6,-,2026-04-25,CASH,LUNAS,,
