bahan_id,tanggal,tipe,jumlah,stok_sebelum,stok_sesudah,referensi_po_spk,catatan,petugas
MG-2604-BH0001,2026-04-02 00:00:00,MASUK,82.0,0.0,82.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0001,2026-04-02 00:00:00,MASUK,80.0,82.0,162.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0001,2026-04-02 00:00:00,MASUK,87.0,162.0,249.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0001,2026-04-02 00:00:00,MASUK,60.0,249.0,309.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0001,2026-07-05 00:00:00,KELUAR_PRODUKSI,309.0,309.0,0.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0002,2026-04-08 00:00:00,MASUK,135.0,0.0,135.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0002,2026-07-05 00:00:00,KELUAR_PRODUKSI,135.0,135.0,0.0,SO-MG260017,Warna: PUTIH | Style: PERSISTENT#1 V2 PUTIH,Import Excel 2026
MG-2604-BH0003,2026-04-08 00:00:00,MASUK,133.0,0.0,133.0,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0003,2026-07-05 00:00:00,KELUAR_PRODUKSI,133.0,133.0,0.0,SO-MG260016,Warna: BLACK | Style: PERSISTENT#1 V2 HITAM,Import Excel 2026
MG-2604-BH0004,2026-04-08 00:00:00,MASUK,110.0,0.0,110.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0004,2026-07-05 00:00:00,KELUAR_PRODUKSI,110.0,110.0,0.0,SO-MG260057,Warna: GREY | Style: DENIMES 1.393,Import Excel 2026
MG-2604-BH0005,2026-04-09 00:00:00,MASUK,100.0,0.0,100.0,-,Warna: NAVY,Import Excel 2026
MG-2604-BH0005,2026-04-09 00:00:00,MASUK,90.0,100.0,190.0,-,Warna: NAVY,Import Excel 2026
MG-2604-BH0005,2026-04-09 00:00:00,MASUK,69.0,190.0,259.0,-,Warna: NAVY,Import Excel 2026
MG-2604-BH0005,2026-07-05 00:00:00,KELUAR_PRODUKSI,259.0,259.0,0.0,SO-MG260020,Warna: BIRU | Style: KMJ SALUR KECIL PLAKET KE LUAR,Import Excel 2026
MG-2604-BH0006,2026-04-09 00:00:00,MASUK,93.0,0.0,93.0,-,Warna: NAVY,Import Excel 2026
MG-2604-BH0006,2026-07-05 00:00:00,KELUAR_PRODUKSI,93.0,93.0,0.0,SO-MG260021,Warna: BIRU | Style: KMJ SALUR SEDANG PLAKET KE LUAR,Import Excel 2026
MG-2604-BH0007,2026-04-10 00:00:00,MASUK,60.1,0.0,60.1,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0007,2026-07-05 00:00:00,KELUAR_PRODUKSI,60.1,60.1,0.0,SO-MG260022,Warna: BLUE | Style: KMJ SALUR SEDANG PLAKET KE DALAM,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,133.0,0.0,133.0,-,Warna: BEIGE,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,133.0,133.0,266.0,-,Warna: BEIGE,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,127.0,266.0,393.0,-,Warna: BEIGE,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,133.0,393.0,526.0,-,Warna: BEIGE,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,136.0,526.0,662.0,-,Warna: DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,131.0,662.0,793.0,-,Warna: DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,134.0,793.0,927.0,-,Warna: DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,103.0,927.0,1030.0,-,Warna: DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,131.0,1030.0,1161.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,132.0,1161.0,1293.0,-,Warna: HITAM,Import Excel 2026
