no_so,brand,style,sumber
SO-MG260001,WILMER STUDIOS,KEMEJA PIQUE SAKU HITAM,IMPORT_EXCEL
SO-MG260002,WILMER STUDIOS,KEMEJA PIQUE SAKU PUTIH,IMPORT_EXCEL
SO-MG260003,INSIGHT ( SMBU ),FLANELLA LONG SHIRT,IMPORT_EXCEL
SO-MG260004,VOXFLY ( SMBU ),WIND MILD BLACK,IMPORT_EXCEL
SO-MG260006,VOXFLY ( SMBU ),WIND MILD BLUE,IMPORT_EXCEL
SO-MG260007,WARNING,DECOTTON 2.433,IMPORT_EXCEL
SO-MG260008,WARNING,DECOTTON 2.434,IMPORT_EXCEL
SO-MG260009,WARNING,DECOTTON 2.435,IMPORT_EXCEL
SO-MG260010,VOXFLY ( SMBU ),SKULLY SHIRT BENDERA PUTIH,IMPORT_EXCEL
SO-MG260011,FADFAD,WOMEN'S LONG SLEEVED SIDE,IMPORT_EXCEL
SO-MG260012,VOXFLY ( SMBU ),SKULLY SHIRT BENDERA COKLAT,IMPORT_EXCEL
SO-MG260013,INSIGHT ( SMBU ),ROTTEN KHAKY,IMPORT_EXCEL
SO-MG260014,INSIGHT ( SMBU ),ROTTEN DRAK GREY,IMPORT_EXCEL
SO-MG260015,FADFAD,SER ATASAN ROK 126973,IMPORT_EXCEL
SO-MG260016,WARNING,PERSISTENT#1 V2 HITAM,IMPORT_EXCEL
SO-MG260017,WARNING,PERSISTENT#1 V2 PUTIH,IMPORT_EXCEL
SO-MG260018,WARNING,HAVERN LN#1,IMPORT_EXCEL
SO-MG260019,WARNING,HAVERN LN#2,IMPORT_EXCEL
SO-MG260020,WILMER STUDIOS,KMJ SALUR KECIL PLAKET KE LUAR,IMPORT_EXCEL
SO-MG260021,WILMER STUDIOS,KMJ SALUR SEDANG PLAKET KE LUAR,IMPORT_EXCEL
SO-MG260022,WILMER STUDIOS,KMJ SALUR SEDANG PLAKET KE DALAM,IMPORT_EXCEL
SO-MG260023,FADFAD,KMJ SALUR MERAH,IMPORT_EXCEL
SO-MG260024,PAMOKIDS,OVERALL PAMOKIDS 3 WARNA,IMPORT_EXCEL
SO-MG260025,VOXFLY ( SMBU ),SAMURAI,IMPORT_EXCEL
SO-MG260026,NEVER SURENDER,DENIM RAW (VORTEX),IMPORT_EXCEL
SO-MG260027,NEVER SURENDER,DENIM RIPPED,IMPORT_EXCEL
SO-MG260028,NEVER SURENDER,DENIM  BLUE WHISKER,IMPORT_EXCEL
SO-MG260029,NEVER SURENDER,DENIM  BLACK WHISKER,IMPORT_EXCEL
SO-MG260030,NEVER SURENDER,DENIM SNOW  BLACK,IMPORT_EXCEL
SO-MG260031,CAMO WARBROKE,KMJ PJG BASIC O9292,IMPORT_EXCEL
SO-MG260032,CAMO WARBROKE,KMJ PJG BASIC O9293,IMPORT_EXCEL
SO-MG260033,CAMO WARBROKE,KMJ PDK BASIC O9294,IMPORT_EXCEL
