item_code,description,item_type,unit,unit_price,current_stock,min_stock_alert,width_inch,rack_location,_brand,_status,_tanggal
MG-2604-BH0001,PURING PUTIH 01 WARNING,PURING,YARD,14000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-02
MG-2604-BH0002,PETRINA WHITE,FABRIC_MAIN,YARD,31000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-08
MG-2604-BH0003,PETRINA BLACK,FABRIC_MAIN,YARD,31000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-08
MG-2604-BH0004,RISTER,FABRIC_MAIN,YARD,53000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-08
MG-2604-BH0005,DEALOVA SALUR KECIL,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-04-09
MG-2604-BH0006,DEALOVA SALUR SEDANG,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-04-09
MG-2604-BH0007,SALUR CATEXTILE MEDIUM BLUE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-04-10
MG-2604-BH0008,MASTER STRETCH,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,OXFOORD,CMT,2026-04-17
MG-2604-BH0009,PID CYGNUS,FABRIC_MAIN,YARD,49000.0,0.0,50.0,58.0,GUDANG_UTAMA,OXFOORD,CMT,2026-04-22
MG-2604-BH0010,BJT 2307 HT,FABRIC_MAIN,YARD,38000.0,0.0,50.0,58.0,GUDANG_UTAMA,NEVER SURRENDER,CASH,2026-04-24
MG-2604-BH0011,SAKURA BC23,FABRIC_MAIN,YARD,34000.0,0.0,50.0,58.0,GUDANG_UTAMA,NEVER SURRENDER,CASH,2026-04-24
MG-2604-BH0012,FODIA BLUE,FABRIC_MAIN,YARD,29000.0,0.0,50.0,58.0,GUDANG_UTAMA,CAMO WARBROKE,CASH,2026-04-24
MG-2604-BH0013,CORDUROY,FABRIC_MAIN,YARD,32000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-24
MG-2604-BH0014,LINEN,FABRIC_MAIN,YARD,29000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-24
MG-2604-BH0015,STREVI HITAM,FABRIC_MAIN,YARD,58000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-24
MG-2604-BH0016,LINEN LUCY,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,OXFOORD,CMT,2026-04-25
MG-2604-BH0017,EVERTON GREY,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,PSM,CMT,2026-04-25
MG-2604-BH0018,FODY TOYOBO,FABRIC_MAIN,YARD,20500.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-04-27
MG-2604-BH0019,ORION PREMIUM BLUE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,OXFOORD,CMT,2026-04-27
MG-2604-BH0020,DENIM FODIA BLUE,FABRIC_MAIN,YARD,29000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-29
MG-2604-BH0021,DENIM MALIBU BLUE,FABRIC_MAIN,YARD,40000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-04-29
MG-2604-BH0022,P/D STRION 303887003 DK BEIGE,FABRIC_MAIN,YARD,60545.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-07
MG-2604-BH0023,TC HITAM WARNING,FABRIC_MAIN,YARD,16500.0,35.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-11
MG-2604-BH0024,LINEN ANGLE  01,FABRIC_MAIN,YARD,29000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-16
MG-2604-BH0025,PURING PUTIH 01 WARNING,PURING,YARD,15000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-16
MG-2604-BH0026,TOYOBO FUDU,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-05-16
MG-2604-BH0027,OXYGEN,FABRIC_MAIN,YARD,31500.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-18
MG-2604-BH0028,CARBON NONSTREACH 2628,FABRIC_MAIN,YARD,34000.0,93.6,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-05-19
MG-2604-BH0029,POKEZONE BERTOLT RETUR,FABRIC_MAIN,YARD,21500.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-18
MG-2604-BH0030,POKEZONE SEVENTYFOUR,FABRIC_MAIN,YARD,15000.0,0.0,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-05-20
MG-2604-BH0031,STRAXEL DRAK GREY ZAMBOR 01,FABRIC_MAIN,YARD,40616.01,3600.5,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-20
MG-2604-BH0032,"POKEZONE BERTOLT 240""",FABRIC_MAIN,YARD,15000.0,28.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-21
MG-2604-BH0033,LINEN ANGLE  02,FABRIC_MAIN,YARD,29000.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-21
MG-2604-BH0034,BJT 2307 HT-1,FABRIC_MAIN,YARD,39500.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-21
MG-2604-BH0035,BENJIRO SATEEN STREET,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-22
MG-2604-BH0036,CARBONE STREET,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-05-22
MG-2604-BH0037,CORDUROY PAMOKIDS,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,PAMOKIDS,CMT,2026-05-22
MG-2604-BH0038,DENIM MERCURY BLACK,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-25
MG-2604-BH0039,DENIM MALIBU BLUE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-25
MG-2604-BH0040,DENIM LIBERO DK BLUE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-25
MG-2604-BH0041,POCKET PUTIH WARNING,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-25
MG-2604-BH0042,POCKET HITAM WARNING,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-05-25
MG-2604-BH0043,TOKYO LINEN STYLE LINIE,FABRIC_MAIN,YARD,0.0,50.0,50.0,58.0,GUDANG_UTAMA,SMBU,CMT,2026-05-28
MG-2604-BH0044,P/D DAIRIBS 58 INCH DARK GREY CORELAX,FABRIC_MAIN,YARD,0.0,1093.13,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-28
