so_number,cutting_date,qty_cut,main_fabric_used,puring_used,main_consumption_rate,puring_consumption_rate,_jenis_bahan,_warna
SO-MG260004,2026-04-08,1060,1824.0,225.5,1.7208,0.2127,BAHAN DENIM,BLACK
SO-MG260005,2026-04-08,1060,1862.5,225.5,1.7571,0.2127,BAHAN DENIM,BLUE
SO-MG260025,2026-04-15,1163,0.0,0.0,0.0,0.0,,
SO-MG260028,2026-05-29,200,278.0,23.0,1.39,0.115,DENIM LIBERO DK BLUE WRNG,BLUE
SO-MG260029,2026-05-29,200,312.0,23.0,1.56,0.115,BJT 2307 HT-1 WRNG,BACK
SO-MG260048,2026-05-06,189,306.5,0.0,1.6217,0.0,ORION PREMIUM BLUE,BLUE
SO-MG260049,2026-05-06,189,306.5,0.0,1.6217,0.0,ORION PREMIUM BLUE,BLUE
SO-MG260061,2026-05-13,1057,1398.58,0.0,1.3232,0.0,EVERTON GREY,DARK GREY
SO-MG260062,2026-05-11,166,266.0,0.0,1.6024,0.0,MASTER STRETCH,BEIGE
SO-MG260063,2026-05-11,167,267.0,0.0,1.5988,0.0,MASTER STRETCH,DRAK GREY
SO-MG260064,2026-05-11,164,263.0,0.0,1.6037,0.0,MASTER STRETCH,BLACK
SO-MG260065,2026-05-13,166,266.0,0.0,1.6024,0.0,MASTER STRETCH,TAUPE
SO-MG260066,2026-05-13,138,260.0,0.0,1.8841,0.0,MASTER STRETCH,BEIGE
SO-MG260067,2026-05-13,125,237.0,0.0,1.896,0.0,MASTER STRETCH,DRAK GREY
SO-MG260068,2026-05-13,134,258.0,0.0,1.9254,0.0,MASTER STRETCH,BLACK
SO-MG260069,2026-05-13,71,130.0,0.0,1.831,0.0,MASTER STRETCH,TAUPE
SO-MG260076,2026-05-20,120,150.0,0.0,1.25,0.0,LINEN ANGLE  02,BLACK
SO-MG260077,2026-05-20,120,150.0,0.0,1.25,0.0,LINEN ANGLE  02,NAVY
SO-MG260078,2026-06-01,78,100.0,0.0,1.2821,0.0,LINEN ANGLE  02,BW MOCCA
SO-MG260079,2026-05-20,120,150.0,0.0,1.25,0.0,LINEN ANGLE  02,PUTIH
SO-MG260080,2026-05-20,97,150.0,0.0,1.5464,0.0,LINEN ANGLE  02,BLACK
SO-MG260081,2026-05-20,102,150.0,0.0,1.4706,0.0,LINEN ANGLE  02,NAVY
SO-MG260082,2026-05-20,69,100.0,0.0,1.4493,0.0,LINEN ANGLE  02,BW MOCCA
SO-MG260083,2026-05-20,106,150.0,0.0,1.4151,0.0,LINEN ANGLE  02,PUTIH
SO-MG260084,2026-06-01,75,100.0,0.0,1.3333,0.0,LINEN ANGLE  02,BLACK
SO-MG260085,2026-06-01,79,100.0,0.0,1.2658,0.0,LINEN ANGLE  02,PUTIH
SO-MG260086,2026-06-01,65,100.0,0.0,1.5385,0.0,LINEN ANGLE  02,BLACK
SO-MG260087,2026-06-01,65,100.0,0.0,1.5385,0.0,LINEN ANGLE  02,PUTIH
SO-MG260092,2026-05-25,392,559.0,0.0,1.426,0.0,TOYOBO FUDU,PUTIH
SO-MG260093,2026-05-25,418,559.0,0.0,1.3373,0.0,TOYOBO FUDU,PUTIH
SO-MG260102,2026-05-26,59,115.81,12.0,1.9629,0.2034,PID CYGNUS,DK.OLIVE
SO-MG260103,2026-05-26,112,209.58,23.0,1.8713,0.2054,PID CYGNUS,CHARACOAL
SO-MG260104,2026-05-26,124,225.6,23.0,1.8194,0.1855,PID CYGNUS,COFFE
SO-MG260105,2026-05-26,122,225.95,23.0,1.852,0.1885,PID CYGNUS,BLACK
SO-MG260106,2026-06-10,102,120.0,0.0,1.1765,0.0,CORDUROY,MARROM
SO-MG260107,2026-06-10,97,117.0,0.0,1.2062,0.0,CORDUROY,MUSTRAD
SO-MG260115,2026-05-29,120,199.0,28.2,1.6583,0.235,CARBON NONSTREACH 2628,ARMY
SO-MG260116,2026-05-29,120,183.8,28.2,1.5317,0.235,CARBON NONSTREACH 2628,BLACK
SO-MG260117,2026-05-29,120,203.0,28.2,1.6917,0.235,CARBON NONSTREACH 2628,KHAKY
SO-MG260118,2026-05-29,114,182.0,28.2,1.5965,0.2474,CARBON NONSTREACH 2628,BEIGE
SO-MG260119,2026-05-29,120,204.0,28.2,1.7,0.235,CARBON NONSTREACH 2628,ABU
SO-MG260120,2026-06-01,232,207.0,22.5,0.8922,0.097,DENIM MERCURY BLACK,BLACK
SO-MG260121,2026-06-01,230,205.0,22.5,0.8913,0.0978,DENIM MALIBU BLUE,BLUE
