so_number,item_code,dispatch_date,qty_issued,surat_jalan_no,_REKONSILIASI
SO-MG260017,MG-2604-BH0002,2026-07-05,135.0,IMP-2026-SO-MG260017-MG-2604-BH0002,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260016,MG-2604-BH0003,2026-07-05,133.0,IMP-2026-SO-MG260016-MG-2604-BH0003,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260057,MG-2604-BH0004,2026-07-05,110.0,IMP-2026-SO-MG260057-MG-2604-BH0004,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260020,MG-2604-BH0005,2026-07-05,259.0,IMP-2026-SO-MG260020-MG-2604-BH0005,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260021,MG-2604-BH0006,2026-07-05,93.0,IMP-2026-SO-MG260021-MG-2604-BH0006,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260022,MG-2604-BH0007,2026-07-05,60.1,IMP-2026-SO-MG260022-MG-2604-BH0007,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260030,MG-2604-BH0010,2026-07-05,318.0,IMP-2026-SO-MG260030-MG-2604-BH0010,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260027,MG-2604-BH0011,2026-07-05,605.0,IMP-2026-SO-MG260027-MG-2604-BH0011,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260031,MG-2604-BH0012,2026-07-05,176.25,IMP-2026-SO-MG260031-MG-2604-BH0012,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260032,MG-2604-BH0012,2026-07-05,176.25,IMP-2026-SO-MG260032-MG-2604-BH0012,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260033,MG-2604-BH0012,2026-07-05,176.25,IMP-2026-SO-MG260033-MG-2604-BH0012,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260034,MG-2604-BH0012,2026-07-05,176.25,IMP-2026-SO-MG260034-MG-2604-BH0012,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260036,MG-2604-BH0013,2026-07-05,74.0,IMP-2026-SO-MG260036-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260037,MG-2604-BH0013,2026-07-05,61.0,IMP-2026-SO-MG260037-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260038,MG-2604-BH0013,2026-07-05,78.0,IMP-2026-SO-MG260038-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260039,MG-2604-BH0013,2026-07-05,82.5,IMP-2026-SO-MG260039-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260040,MG-2604-BH0013,2026-07-05,92.5,IMP-2026-SO-MG260040-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260041,MG-2604-BH0013,2026-07-05,72.0,IMP-2026-SO-MG260041-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260042,MG-2604-BH0013,2026-07-05,50.0,IMP-2026-SO-MG260042-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260043,MG-2604-BH0013,2026-07-05,105.0,IMP-2026-SO-MG260043-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260044,MG-2604-BH0013,2026-07-05,64.0,IMP-2026-SO-MG260044-MG-2604-BH0013,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260045,MG-2604-BH0014,2026-07-05,50.0,IMP-2026-SO-MG260045-MG-2604-BH0014,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260048,MG-2604-BH0019,2026-07-05,306.5,IMP-2026-SO-MG260048-MG-2604-BH0019,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260049,MG-2604-BH0019,2026-07-05,306.5,IMP-2026-SO-MG260049-MG-2604-BH0019,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260047,MG-2604-BH0018,2026-07-05,834.0,IMP-2026-SO-MG260047-MG-2604-BH0018,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260046,MG-2604-BH0018,2026-07-05,411.0,IMP-2026-SO-MG260046-MG-2604-BH0018,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260054,MG-2604-BH0020,2026-07-05,127.5,IMP-2026-SO-MG260054-MG-2604-BH0020,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260055,MG-2604-BH0020,2026-07-05,127.5,IMP-2026-SO-MG260055-MG-2604-BH0020,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260053,MG-2604-BH0021,2026-07-05,220.5,IMP-2026-SO-MG260053-MG-2604-BH0021,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260062,MG-2604-BH0008,2026-07-05,133.0,IMP-2026-SO-MG260062-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260062,MG-2604-BH0008,2026-07-05,133.0,IMP-2026-SO-MG260062-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260066,MG-2604-BH0008,2026-07-05,127.0,IMP-2026-SO-MG260066-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260066,MG-2604-BH0008,2026-07-05,133.0,IMP-2026-SO-MG260066-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260063,MG-2604-BH0008,2026-07-05,136.0,IMP-2026-SO-MG260063-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
