item_code,receipt_date,roll_number,qty_received,unit,contract_type,inspection_status,_REKONSILIASI
MG-2604-BH0001,2026-04-02,IMP-2026-MG-2604-BH0001-001,82.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0001,2026-04-02,IMP-2026-MG-2604-BH0001-002,80.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0001,2026-04-02,IMP-2026-MG-2604-BH0001-003,87.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0001,2026-04-02,IMP-2026-MG-2604-BH0001-004,60.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0002,2026-04-08,IMP-2026-MG-2604-BH0002-001,135.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0003,2026-04-08,IMP-2026-MG-2604-BH0003-001,133.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0004,2026-04-08,IMP-2026-MG-2604-BH0004-001,110.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0005,2026-04-09,IMP-2026-MG-2604-BH0005-001,100.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0005,2026-04-09,IMP-2026-MG-2604-BH0005-002,90.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0005,2026-04-09,IMP-2026-MG-2604-BH0005-003,69.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0006,2026-04-09,IMP-2026-MG-2604-BH0006-001,93.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0007,2026-04-10,IMP-2026-MG-2604-BH0007-001,60.1,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-001,133.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-002,133.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-003,127.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-004,133.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-005,136.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-006,131.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-007,134.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-008,103.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-009,131.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-010,132.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-011,130.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-012,128.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-013,136.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-014,130.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0008,2026-04-17,IMP-2026-MG-2604-BH0008-015,130.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-001,107.28,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-002,115.81,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
