so_number,brand,style_name,_REKONSILIASI
SO-MG260001,WILMER STUDIOS,KEMEJA PIQUE SAKU HITAM,OK - SO ada di prod
SO-MG260002,WILMER STUDIOS,KEMEJA PIQUE SAKU PUTIH,OK - SO ada di prod
SO-MG260003,INSIGHT ( SMBU ),FLANELLA LONG SHIRT,OK - SO ada di prod
SO-MG260004,VOXFLY ( SMBU ),WIND MILD BLACK,selisih diselesaikan oleh sheet Monitoring: BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=WILMER STUDIOS
SO-MG260006,VOXFLY ( SMBU ),WIND MILD BLUE,OK - SO ada di prod
SO-MG260007,WARNING,DECOTTON 2.433,OK - SO ada di prod
SO-MG260008,WARNING,DECOTTON 2.434,OK - SO ada di prod
SO-MG260009,WARNING,DECOTTON 2.435,OK - SO ada di prod
SO-MG260010,VOXFLY ( SMBU ),SKULLY SHIRT BENDERA PUTIH,OK - SO ada di prod
SO-MG260011,FADFAD,WOMEN'S LONG SLEEVED SIDE,OK - SO ada di prod
SO-MG260012,VOXFLY ( SMBU ),SKULLY SHIRT BENDERA COKLAT,OK - SO ada di prod
SO-MG260013,INSIGHT ( SMBU ),ROTTEN KHAKY,OK - SO ada di prod
SO-MG260014,INSIGHT ( SMBU ),ROTTEN DRAK GREY,OK - SO ada di prod
SO-MG260015,FADFAD,SER ATASAN ROK 126973,OK - SO ada di prod
SO-MG260016,WARNING,PERSISTENT#1 V2 HITAM,OK - SO ada di prod
SO-MG260017,WARNING,PERSISTENT#1 V2 PUTIH,OK - SO ada di prod
SO-MG260018,WARNING,HAVERN LN#1,OK - SO ada di prod
SO-MG260019,WARNING,HAVERN LN#2,OK - SO ada di prod
SO-MG260020,WILMER STUDIOS,KMJ SALUR KECIL PLAKET KE LUAR,OK - SO ada di prod
SO-MG260021,WILMER STUDIOS,KMJ SALUR SEDANG PLAKET KE LUAR,OK - SO ada di prod
SO-MG260022,WILMER STUDIOS,KMJ SALUR SEDANG PLAKET KE DALAM,OK - SO ada di prod
SO-MG260023,FADFAD,KMJ SALUR MERAH,OK - SO ada di prod
SO-MG260024,PAMOKIDS,OVERALL PAMOKIDS 3 WARNA,OK - SO ada di prod
SO-MG260025,VOXFLY ( SMBU ),SAMURAI,OK - SO ada di prod
SO-MG260026,NEVER SURRENDER,DENIM RAW (VORTEX),OK - SO ada di prod
SO-MG260027,NEVER SURRENDER,DENIM RIPPED,OK - SO ada di prod
SO-MG260028,NEVER SURRENDER,DENIM  BLUE WHISKER,OK - SO ada di prod
SO-MG260029,NEVER SURRENDER,DENIM  BLACK WHISKER,OK - SO ada di prod
SO-MG260030,NEVER SURRENDER,DENIM SNOW  BLACK,OK - SO ada di prod
SO-MG260031,CAMO WARBROKE,KMJ PJG BASIC O9292,OK - SO ada di prod
SO-MG260032,CAMO WARBROKE,KMJ PJG BASIC O9293,OK - SO ada di prod
SO-MG260033,CAMO WARBROKE,KMJ PDK BASIC O9294,OK - SO ada di prod
SO-MG260034,CAMO WARBROKE,KMJ PDK BASIC O9295,OK - SO ada di prod
SO-MG260035,FADFAD,SATU SET FADFAD,OK - SO ada di prod
SO-MG260036,WARNING,STRIATA#1,OK - SO ada di prod
SO-MG260037,WARNING,STRIATA#3,OK - SO ada di prod
SO-MG260038,WARNING,STRIATA#4,OK - SO ada di prod
SO-MG260039,WARNING,CORELINE CY#1,OK - SO ada di prod
SO-MG260040,WARNING,CORELINE CY#2,OK - SO ada di prod
SO-MG260041,WARNING,CORDIER CY#1,OK - SO ada di prod
SO-MG260042,WARNING,CORDIER CY#2,OK - SO ada di prod
SO-MG260043,WARNING,CORDIER CY#3,OK - SO ada di prod
SO-MG260044,WARNING,CORDIER CY#4,OK - SO ada di prod
SO-MG260045,WARNING,VAVERN LN#3,OK - SO ada di prod
SO-MG260046,WILMER STUDIOS,KMJ BASIC SAKU BLACK (04),OK - SO ada di prod
SO-MG260047,WILMER STUDIOS,KMJ BASIC SAKU PUTIH (04),OK - SO ada di prod
SO-MG260048,TRAVEOLOGY,JEANS JACKET INDIGO BLUE,OK - SO ada di prod
SO-MG260049,TRAVEOLOGY,JEANS JACKET LIGHT BLUE,OK - SO ada di prod
SO-MG260050,AL-ITIHAD,SERAGAM AL-ITIHAD,OK - SO ada di prod
SO-MG260051,FADFAD,SET SETELAN 260414668 (ATASAN),OK - SO ada di prod
SO-MG260052,FADFAD,SET SETELAN 260414668 (CELANA),OK - SO ada di prod
SO-MG260053,WARNING,"DENIMES 2,58 ( REGULER )",OK - SO ada di prod
SO-MG260054,WARNING,BENNET,OK - SO ada di prod
SO-MG260055,WARNING,HALFDAN,OK - SO ada di prod
SO-MG260056,SERAGAM,KEMEJA JEANS PANJANG,OK - SO ada di prod
SO-MG260057,WARNING,DENIMES 1.393,OK - SO ada di prod
SO-MG260058,FADFAD,KEMEJA 129276,OK - SO ada di prod
SO-MG260059,FADFAD,KEMEJA 129277,OK - SO ada di prod
SO-MG260060,FADFAD,SATU SET 118922,OK - SO ada di prod
SO-MG260061,INSIGHT ( SMBU ),51 DOLAR,OK - SO ada di prod
SO-MG260062,OXFOORD,NEW OUTER BUTTON BEIGE,OK - SO ada di prod
SO-MG260063,OXFOORD,NEW OUTER BUTTON DRAK GREY,OK - SO ada di prod
SO-MG260064,OXFOORD,NEW OUTER BUTTON BLACK,OK - SO ada di prod
SO-MG260065,OXFOORD,NEW OUTER BUTTON TAUPE,OK - SO ada di prod
SO-MG260066,OXFOORD,NEW OUTER ZIPPER BEIGE,OK - SO ada di prod
SO-MG260067,OXFOORD,NEW OUTER ZIPPER DRAK GREY,OK - SO ada di prod
SO-MG260068,OXFOORD,NEW OUTER ZIPPER BLACK,OK - SO ada di prod
SO-MG260069,OXFOORD,NEW OUTER ZIPPER TAUPE,OK - SO ada di prod
SO-MG260070,OXFOORD,REXTURED SHIRT BLACK,OK - SO ada di prod
SO-MG260071,OXFOORD,REXTURED SHIRT CHATIME,OK - SO ada di prod
