so_number,cutting_date,qty_cut,main_fabric_used,puring_used,main_consumption_rate,puring_consumption_rate,_REKONSILIASI
SO-MG260004,2026-04-08,1060,1824.0,225.5,1.7208,0.2127,BEDA qty_cut: excel=1060.0 prod=500.0 | BEDA main_fabric_used: excel=1824.0 prod=650.0 | BEDA puring_used: excel=225.5 prod=100.0 | BEDA main_consumption_rate: excel=1.7208 prod=1.3 | BEDA puring_consumption_rate: excel=0.2127 prod=0.2
SO-MG260005,2026-04-08,1060,1862.5,225.5,1.7571,0.2127,BEDA qty_cut: excel=1060.0 prod=1494.0 | BEDA main_fabric_used: excel=1862.5 prod=1942.2 | BEDA puring_used: excel=225.5 prod=298.8 | BEDA main_consumption_rate: excel=1.7571 prod=1.3 | BEDA puring_consumption_rate: excel=0.2127 prod=0.2
SO-MG260025,2026-04-15,1163,1511.9,232.6,1.3,0.2,"PERLU KEPUTUSAN: main_fabric_used kosong di Excel, prod=1511.9 (dipertahankan) | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=232.6 (dipertahankan) | PERLU KEPUTUSAN: main_consumption_rate kosong di Excel, prod=1.3 (dipertahankan) | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260028,2026-05-29,200,278.0,23.0,1.39,0.115,BEDA main_fabric_used: excel=278.0 prod=260.0 | BEDA puring_used: excel=23.0 prod=40.0 | BEDA main_consumption_rate: excel=1.39 prod=1.3 | BEDA puring_consumption_rate: excel=0.115 prod=0.2
SO-MG260029,2026-05-29,200,312.0,23.0,1.56,0.115,BEDA main_fabric_used: excel=312.0 prod=260.0 | BEDA puring_used: excel=23.0 prod=40.0 | BEDA main_consumption_rate: excel=1.56 prod=1.3 | BEDA puring_consumption_rate: excel=0.115 prod=0.2
SO-MG260048,2026-05-06,189,306.5,37.8,1.6217,0.2,"BEDA main_fabric_used: excel=306.5 prod=245.7 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=37.8 (dipertahankan) | BEDA main_consumption_rate: excel=1.6217 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260049,2026-05-06,189,306.5,37.8,1.6217,0.2,"BEDA main_fabric_used: excel=306.5 prod=245.7 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=37.8 (dipertahankan) | BEDA main_consumption_rate: excel=1.6217 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260061,2026-05-13,1057,1398.58,0.0,1.3232,0.0,OK - sama dengan prod
SO-MG260062,2026-05-11,166,266.0,33.2,1.6024,0.2,"BEDA main_fabric_used: excel=266.0 prod=215.8 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=33.2 (dipertahankan) | BEDA main_consumption_rate: excel=1.6024 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260063,2026-05-11,167,267.0,33.4,1.5988,0.2,"BEDA main_fabric_used: excel=267.0 prod=217.1 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=33.4 (dipertahankan) | BEDA main_consumption_rate: excel=1.5988 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
