so_number,brand,style_name,item_category,color,order_qty,status,order_date,special_instructions,_REKONSILIASI
SO-MG260004,VOXFLY ( SMBU ),WIND MILD BLACK,LONG JEANS,BLACK,1060,SHIPPED,2026-04-01,Model: DENIMES,BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=WILMER STUDIOS
SO-MG260005,VOXFLY ( SMBU ),WIND MILD BLUE,LONG JEANS,NAVY,1494,CUTTING,2026-04-01,Model: DENIMES,OK - sama dengan prod
SO-MG260025,VOXFLY ( SMBU ),SAMURAI,SS KEMEJA,BIRU,1163,SHIPPED,2026-04-13,Model: KEMEJA,OK - sama dengan prod
SO-MG260028,NEVER SURRENDER,DENIM  BLUE WHISKER,LONG JEANS,BLUE,200,SHIPPED,2026-04-21,Model: DENIMES,OK - sama dengan prod
SO-MG260029,NEVER SURRENDER,DENIM  BLACK WHISKER,LONG JEANS,BLACK,200,SHIPPED,2026-04-21,Model: DENIMES,OK - sama dengan prod
SO-MG260048,TRAVEOLOGY,JEANS JACKET INDIGO BLUE,LONG JAKET,BLUE,189,SHIPPED,2026-04-25,Model: OUTER JAKET,OK - sama dengan prod
SO-MG260049,TRAVEOLOGY,JEANS JACKET LIGHT BLUE,LONG JAKET,BLUE,189,SHIPPED,2026-04-25,Model: OUTER JAKET,OK - sama dengan prod
SO-MG260061,INSIGHT ( SMBU ),51 DOLAR,SS KEMEJA,GREY,1057,SHIPPED,2026-05-07,Model: KEMEJA,OK - sama dengan prod
SO-MG260062,OXFOORD,NEW OUTER BUTTON BEIGE,OUTER BUTTON,BEIGE,166,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260063,OXFOORD,NEW OUTER BUTTON DRAK GREY,OUTER BUTTON,DRAK GREY,167,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260064,OXFOORD,NEW OUTER BUTTON BLACK,OUTER BUTTON,BLACK,164,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260065,OXFOORD,NEW OUTER BUTTON TAUPE,OUTER BUTTON,TAUPE,166,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260066,OXFOORD,NEW OUTER ZIPPER BEIGE,OUTER ZIPPER,BEIGE,138,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260067,OXFOORD,NEW OUTER ZIPPER DRAK GREY,OUTER ZIPPER,DRAK GREY,125,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260068,OXFOORD,NEW OUTER ZIPPER BLACK,OUTER ZIPPER,BLACK,134,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260069,OXFOORD,NEW OUTER ZIPPER TAUPE,OUTER ZIPPER,TAUPE,71,SHIPPED,2026-05-07,Model: OUTER,OK - sama dengan prod
SO-MG260076,WARNING,ARVYN LN#1  18,SS KEMEJA,BLACK,120,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260077,WARNING,ARVYN LN#2 18,SS KEMEJA,NAVY,120,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260078,WARNING,SKIVE LN#5 REG FIT,SS KEMEJA,BW,78,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260079,WARNING,ARVYN LN#6 18,SS KEMEJA,WHITE,120,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260080,WARNING,VELAR LV#1 18,LS KEMEJA,BLACK,97,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260081,WARNING,VELAR LV#2 18,LS KEMEJA,NAVY,102,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260082,WARNING,VELAR LV#5 18,LS KEMEJA,BW,69,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
