so_number,stage_name,sequence_order,vendor,surat_jalan_no,dispatch_date,qty_dispatched,received_date,qty_received,qty_reject,balance_discrepancy,status,_REKONSILIASI
SO-MG260004,PRINT_MENTAH,1,,IMP-2026-SO-MG260004-PRINT_MENTAH,2026-07-27,882,2026-07-27,882,0,0,COMPLETED,OK - sama dengan prod
SO-MG260004,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260004-SEWING_MAKLUN,2026-07-27,1494,2026-07-27,546,503,445,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260004,WASHING,4,,IMP-2026-SO-MG260004-WASHING,2026-07-27,595,2026-07-27,595,0,0,COMPLETED,OK - sama dengan prod
SO-MG260004,FINISHING,6,,IMP-2026-SO-MG260004-FINISHING,2026-07-27,546,2026-07-27,546,0,0,COMPLETED,OK - sama dengan prod
SO-MG260005,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260005-SEWING_MAKLUN,2026-07-27,1060,2026-07-27,1060,542,-542,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260005,WASHING,4,,IMP-2026-SO-MG260005-WASHING,2026-07-27,1060,2026-07-27,1060,0,0,COMPLETED,OK - sama dengan prod
SO-MG260005,FINISHING,6,,IMP-2026-SO-MG260005-FINISHING,2026-07-27,1060,2026-07-27,1060,0,0,COMPLETED,OK - sama dengan prod
SO-MG260025,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260025-SEWING_MAKLUN,2026-07-27,1163,2026-07-27,1154,58,-49,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260025,WASHING,4,,IMP-2026-SO-MG260025-WASHING,2026-07-27,1154,2026-07-27,1154,0,0,COMPLETED,OK - sama dengan prod
SO-MG260025,FINISHING,6,,IMP-2026-SO-MG260025-FINISHING,2026-07-27,1154,2026-07-27,1154,0,0,COMPLETED,OK - sama dengan prod
SO-MG260028,SEWING_MAKLUN,3,PAK ADE CIPARAY,IMP-2026-SO-MG260028-SEWING_MAKLUN,2026-07-27,200,2026-07-27,200,0,0,COMPLETED,OK - sama dengan prod
SO-MG260028,WASHING,4,,IMP-2026-SO-MG260028-WASHING,2026-07-27,200,2026-07-27,200,0,0,COMPLETED,OK - sama dengan prod
SO-MG260028,FINISHING,6,,IMP-2026-SO-MG260028-FINISHING,2026-07-27,200,2026-07-27,200,0,0,COMPLETED,OK - sama dengan prod
SO-MG260029,SEWING_MAKLUN,3,PAK ADE CIPARAY,IMP-2026-SO-MG260029-SEWING_MAKLUN,2026-07-27,200,2026-07-27,200,0,0,COMPLETED,OK - sama dengan prod
SO-MG260029,WASHING,4,,IMP-2026-SO-MG260029-WASHING,2026-07-27,200,2026-07-27,200,0,0,COMPLETED,OK - sama dengan prod
SO-MG260029,FINISHING,6,,IMP-2026-SO-MG260029-FINISHING,2026-07-27,200,2026-07-27,200,0,0,COMPLETED,OK - sama dengan prod
SO-MG260048,SEWING_MAKLUN,3,A DADANG,IMP-2026-SO-MG260048-SEWING_MAKLUN,2026-07-27,189,2026-07-27,189,0,0,COMPLETED,OK - sama dengan prod
SO-MG260048,WASHING,4,,IMP-2026-SO-MG260048-WASHING,2026-07-27,189,2026-07-27,189,0,0,COMPLETED,OK - sama dengan prod
SO-MG260048,FINISHING,6,,IMP-2026-SO-MG260048-FINISHING,2026-07-27,189,2026-07-27,189,0,0,COMPLETED,OK - sama dengan prod
SO-MG260049,SEWING_MAKLUN,3,A DADANG,IMP-2026-SO-MG260049-SEWING_MAKLUN,2026-07-27,189,2026-07-27,189,0,0,COMPLETED,OK - sama dengan prod
SO-MG260049,WASHING,4,,IMP-2026-SO-MG260049-WASHING,2026-07-27,189,2026-07-27,189,0,0,COMPLETED,OK - sama dengan prod
SO-MG260049,FINISHING,6,,IMP-2026-SO-MG260049-FINISHING,2026-07-27,189,2026-07-27,189,0,0,COMPLETED,OK - sama dengan prod
SO-MG260061,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260061-SEWING_MAKLUN,2026-07-27,1057,2026-07-27,1050,15,-8,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260061,WASHING,4,,IMP-2026-SO-MG260061-WASHING,2026-07-27,961,2026-07-27,961,0,0,COMPLETED,OK - sama dengan prod
SO-MG260061,FINISHING,6,,IMP-2026-SO-MG260061-FINISHING,2026-07-27,1050,2026-07-27,1050,0,0,COMPLETED,OK - sama dengan prod
SO-MG260062,SEWING_MAKLUN,3,Pa Aep,IMP-2026-SO-MG260062-SEWING_MAKLUN,2026-07-27,166,2026-07-27,166,0,0,COMPLETED,OK - sama dengan prod
SO-MG260062,FINISHING,6,,IMP-2026-SO-MG260062-FINISHING,2026-07-27,166,2026-07-27,166,0,0,COMPLETED,OK - sama dengan prod
SO-MG260063,SEWING_MAKLUN,3,Pa Aep,IMP-2026-SO-MG260063-SEWING_MAKLUN,2026-07-27,167,2026-07-27,167,0,0,COMPLETED,OK - sama dengan prod
SO-MG260063,FINISHING,6,,IMP-2026-SO-MG260063-FINISHING,2026-07-27,167,2026-07-27,167,0,0,COMPLETED,OK - sama dengan prod
SO-MG260064,SEWING_MAKLUN,3,Pa Aep,IMP-2026-SO-MG260064-SEWING_MAKLUN,2026-07-27,164,2026-07-27,164,0,0,COMPLETED,OK - sama dengan prod
SO-MG260064,FINISHING,6,,IMP-2026-SO-MG260064-FINISHING,2026-07-27,164,2026-07-27,164,0,0,COMPLETED,OK - sama dengan prod
SO-MG260065,SEWING_MAKLUN,3,Pa Aep,IMP-2026-SO-MG260065-SEWING_MAKLUN,2026-07-27,166,2026-07-27,166,0,0,COMPLETED,OK - sama dengan prod
SO-MG260065,FINISHING,6,,IMP-2026-SO-MG260065-FINISHING,2026-07-27,166,2026-07-27,166,0,0,COMPLETED,OK - sama dengan prod
SO-MG260066,SEWING_MAKLUN,3,A DADANG,IMP-2026-SO-MG260066-SEWING_MAKLUN,2026-07-27,138,2026-07-27,138,0,0,COMPLETED,OK - sama dengan prod
SO-MG260066,FINISHING,6,,IMP-2026-SO-MG260066-FINISHING,2026-07-27,138,2026-07-27,138,0,0,COMPLETED,OK - sama dengan prod
